,phrase,frequency
26493,information tampering,4
26494,fine-grained provenance,4
26495,critical embedded,4
26496,commodity distribution,4
26497,computational practices,4
26498,adaptations accommodations,4
26499,1 deployment,4
26500,-- create,4
26501,areas health,4
26502,framework entropy,4
26503,humans physical,4
26504,users users,4
26505,users since,4
26506,teams mobile,4
26507,synergistic approach,4
26508,achieving performance,4
26509,emerging cps,4
26510,loc technology,4
26511,virtual energy,4
26512,two prototype,4
26513,system science,4
26514,distributed power,4
26515,interfaces control,4
26516,developing foundations,4
26517,interactions lead,4
26518,fresco answer,4
26519,local software,4
26520,resilient cyber-physical,4
26521,development cyber-physical,4
26522,mechanisms enhance,4
26523,introduction advanced,4
26524,reliability safety,4
26525,theory game,4
26526,communications protocols,4
26527,rescue recovery,4
26528,medical practice,4
26529,medical staff,4
26530,account interactions,4
26531,eg cerebral,4
26532,cerebral palsy,4
26533,locomotion skills,4
26534,children neurological,4
26535,signal timing,4
26536,west coast,4
26537,behave correctly,4
26538,computations outsourced,4
26539,manufacturing companies,4
26540,architecture drive,4
26541,social protocols,4
26542,1 study,4
26543,provide environment,4
26544,pi meetings,4
26545,additive layer,4
26546,layer manufacturing,4
26547,facilitate accelerate,4
26548,duplex wireless,4
26549,duplex cognitive,4
26550,broadly researchers,4
26551,economic policy,4
26552,system structure,4
26553,related problem,4
26554,help operators,4
26555,creates corps,4
26556,hybrid optimal,4
26557,wsu site,4
26558,national ecosystem,4
26559,site enhance,4
26560,brbrby providing,4
26561,well increased,4
26562,mechanisms help,4
26563,entrepreneurial leads,4
26564,implementation generation,4
26565,system capture,4
26566,acoustic environment,4
26567,under-ice acoustic,4
26568,services networks,4
26569,work disseminated,4
26570,systems workshop,4
26571,valuable experience,4
26572,device components,4
26573,resources virtual,4
26574,mobile virtual,4
26575,development systematic,4
26576,network appliances,4
26577,prevention systems,4
26578,process managing,4
26579,continues fundamental,4
26580,4 scalable,4
26581,hierarchical population,4
26582,population control,4
26583,designs enabling,4
26584,malicious task,4
26585,development workshops,4
26586,health record,4
26587,smart medical,4
26588,reasoning correctness,4
26589,practice networked,4
26590,theme work,4
26591,threats cloud,4
26592,mechanisms security,4
26593,cloud iaas,4
26594,structure among,4
26595,previous successes,4
26596,provides common,4
26597,associated software,4
26598,create class,4
26599,abstract machine,4
26600,deployed homes,4
26601,mitigate power,4
26602,runtime management,4
26603,frauds attacks,4
26604,model ie,4
26605,end-to-end privacy,4
26606,industry practice,4
26607,growing reliance,4
26608,user input,4
26609,health mhealth,4
26610,virtualized data,4
26611,provide medical,4
26612,rich programming,4
26613,individual sensors,4
26614,request processing,4
26615,existing works,4
26616,correlations among,4
26617,national council,4
26618,brthe action,4
26619,software disseminated,4
26620,atp systems,4
26621,techniques wireless,4
26622,empirical approach,4
26623,direct programmable,4
26624,provides hardware,4
26625,evolve architecture,4
26626,mobile terminals,4
26627,active security,4
26628,algorithms important,4
26629,used network,4
26630,smartphones laptops,4
26631,short battery,4
26632,energy-saving features,4
26633,allocating inefficiency,4
26634,cannot take,4
26635,ray tracing,4
26636,many potential,4
26637,model cloud,4
26638,control developing,4
26639,devices interact,4
26640,collaborative applications,4
26641,miniaturized sensors,4
26642,graphical simulations,4
26643,nimbus software,4
26644,focused development,4
26645,secure general-purpose,4
26646,general-purpose mechanisms,4
26647,mechanisms enabling,4
26648,cloud provides,4
26649,significant outreach,4
26650,observing controlling,4
26651,controlling internet,4
26652,internet forwarding,4
26653,networking provides,4
26654,natural interaction,4
26655,language provide,4
26656,goal computer,4
26657,relies set,4
26658,co-located jobs,4
26659,jobs may,4
26660,resources last,4
26661,level cache,4
26662,hardware power,4
26663,information architecture,4
26664,thrust utilizes,4
26665,different directions,4
26666,engineered networks,4
26667,vlc networking,4
26668,via testbed,4
26669,cross workload,4
26670,isolation capabilities,4
26671,partitioning system,4
26672,multi-stack virtualization,4
26673,resources set,4
26674,find ways,4
26675,ndn team,4
26676,administrative policies,4
26677,one node,4
26678,many compute,4
26679,management order,4
26680,since energy,4
26681,driven software,4
26682,issues data,4
26683,topology control,4
26684,involves industry,4
26685,access controller,4
26686,radio users,4
26687,network algorithmics,4
26688,management scheme,4
26689,services software,4
26690,language supports,4
26691,configuration deployment,4
26692,tools network,4
26693,mhealth monitoring,4
26694,tdci streams,4
26695,rich opportunities,4
26696,text processing,4
26697,needs emerging,4
26698,model security,4
26699,operational semantics,4
26700,consumption user,4
26701,labs developed,4
26702,computation functional,4
26703,quality programmable,4
26704,neighborhood area,4
26705,topologies routing,4
26706,timing margins,4
26707,storage cluster,4
26708,international collaborations,4
26709,following projectsbr-,4
26710,board well,4
26711,well individual,4
26712,individual industry,4
26713,systems underwater,4
26714,non-repudiation protocol,4
26715,design non-repudiation,4
26716,protocols involve,4
26717,least invasive,4
26718,invasive trusted,4
26719,infrastructure cloud,4
26720,live migration,4
26721,tenant services,4
26722,question addressed,4
26723,sequence alignment,4
26724,alignment problem,4
26725,short reads,4
26726,develops principles,4
26727,success lbs,4
26728,pipelined procedures,4
26729,localization time,4
26730,enhancing location,4
26731,mathematical physics,4
26732,directorate mathematical,4
26733,mathematical physical,4
26734,physical sciences,4
26735,quantum gravity,4
26736,fundamental laws,4
26737,behavior among,4
26738,fundamental interactions,4
26739,derived equations,4
26740,dark energy,4
26741,human intelligence,4
26742,systems cognitive,4
26743,use synchronization,4
26744,volitional control,4
26745,implantable bci,4
26746,adaptive power,4
26747,consumption heat,4
26748,literacy persons,4
26749,fields increase,4
26750,heat dissipation,4
26751,surveillance systems,4
26752,site expand,4
26753,teams working,4
26754,workshops mentoring,4
26755,activities marketplacebrbri-corps,4
26756,marketplacebrbri-corps sites,4
26757,critical economic,4
26758,faculty expertise,4
26759,technology --,4
26760,launch program,4
26761,ics teams,4
26762,ucla site,4
26763,2 ucla,4
26764,mentoring networking,4
26765,representation women,4
26766,extends pis,4
26767,greater numbers,4
26768,tracing plane,4
26769,infrastructure collect,4
26770,spectrum situational,4
26771,in-network storage,4
26772,ndn mobilityfirst,4
26773,could thus,4
26774,simulation toolkit,4
26775,consumption current,4
26776,systems ecs,4
26777,etc work,4
26778,science finance,4
26779,emergency applications,4
26780,earthquake japan,4
26781,accurate localization,4
26782,localization sensor,4
26783,environment building,4
26784,enriches engineering,4
26785,engineering integrate,4
26786,integrate theory,4
26787,science exposure,4
26788,updating mechanisms,4
26789,design global,4
26790,processor speeds,4
26791,far easy,4
26792,coordination overheads,4
26793,combines following,4
26794,mobile autonomous,4
26795,host institution,4
26796,innovative hardware,4
26797,broad study,4
26798,institution pi,4
26799,consumption practices,4
26800,provenance management,4
26801,computational devices,4
26802,infrastructure cri,4
26803,power costs,4
26804,real application,4
26805,wavelength interchange,4
26806,networks looking,4
26807,include joint,4
26808,costs increasing,4
26809,6 social,4
26810,obligation policies,4
26811,tutorials software,4
26812,trace-based property,4
26813,third-party hardware,4
26814,energy energy,4
26815,medical automotive,4
26816,designed work,4
26817,layer space,4
26818,elementary functions,4
26819,different complementary,4
26820,approach future,4
26821,manufacturing science,4
26822,dynamic scripting,4
26823,studies use,4
26824,networked storage,4
26825,indirect measurements,4
26826,energy-efficient network,4
26827,wsn topology,4
26828,topology tomography,4
26829,extends current,4
26830,large-scale wsns,4
26831,networks projects,4
26832,liquid networking,4
26833,in-network data,4
26834,multi-robot cps,4
26835,aviation systems,4
26836,engineering applied,4
26837,students middle,4
26838,failure rates,4
26839,effective human,4
26840,human-cps system,4
26841,abilities limitations,4
26842,analytical human,4
26843,human models,4
26844,robust cyber-physical,4
26845,cph systems,4
26846,conduct pilot,4
26847,extend portfolio,4
26848,first workshop,4
26849,brtitle mridev,4
26850,computing computer,4
26851,impact felt,4
26852,idea network,4
26853,universitybrtitle mriacq,4
26854,educators pursue,4
26855,organic semiconductors,4
26856,changing face,4
26857,static nodes,4
26858,multilingual speakers,4
26859,different language,4
26860,application containment,4
26861,past behavior,4
26862,speed broadband,4
26863,information distribution,4
26864,two national,4
26865,simply routing,4
26866,fast forwarding,4
26867,communication model,4
26868,invited present,4
26869,phd theses,4
26870,may expected,4
26871,mf architecture,4
26872,services trial,4
26873,2 network,4
26874,content services,4
26875,environment trials,4
26876,emergency notification,4
26877,mobilityfirst protocol,4
26878,year olds,4
26879,conduct evaluate,4
26880,feasibility utilizing,4
26881,routing tables,4
26882,brbroader impact,4
26883,health thin-client,4
26884,desktop virtualization,4
26885,virtual desktops,4
26886,would change,4
26887,security context,4
26888,secured efficient,4
26889,closed-loop sensor,4
26890,net-centric cloud,4
26891,variety security,4
26892,unauthorized reading,4
26893,legitimate tag,4
26894,game design,4
26895,important information,4
26896,pdc curricula,4
26897,driven testing,4
26898,cross-resource links,4
26899,transitive closure,4
26900,senses semantic,4
26901,role labels,4
26902,inferences contexts,4
26903,exascale computing,4
26904,traffic safety,4
26905,iterative computations,4
26906,involves mix,4
26907,component effort,4
26908,transmitted signal,4
26909,control center,4
26910,observable wireless,4
26911,protecting user,4
26912,search schemes,4
26913,deployment develops,4
26914,merge network,4
26915,real-time assurance,4
26916,efficiency cellular,4
26917,investigates lawn,4
26918,provide community,4
26919,multipath routing,4
26920,disc systems,4
26921,coordinated tracking,4
26922,fabrication process,4
26923,developed design,4
26924,providing insights,4
26925,search-engine manipulation,4
26926,implicit learning,4
26927,sdr shield,4
26928,trust distrust,4
26929,internet information,4
26930,institution acquiring,4
26931,energy physics,4
26932,direct communication,4
26933,personal communication,4
26934,aadl models,4
26935,mobile beamformers,4
26936,unit summative,4
26937,ct assessment,4
26938,angeles unified,4
26939,duke campus,4
26940,transparent coexistence,4
26941,interactions animals,4
26942,healthy organs,4
26943,design solutions,4
26944,filter bubbles,4
26945,spectrum observatories,4
26946,models spectrum,4
